NAME,TIME,Category,Empty,Commentaire
TestAifex_AddProduct_PagesNavigating,137,Debut,,Ajouter au panier depuis la liste de produits (!= product page)=Debut
TestAifex_AddProductToBasket_AcceptInsuranceAndWarranty,161,Fin,,"Les tests qui checkent juste la page - même si c’est la page liste de produits = Inconnu"
TestAifex_AddProductToBasket_ListSearch("CDS"),111,Debut,,Simplement faire une recherche=Debut
TestAifex_AddProductToBasket_ListSearch("MKP"),119,Debut,,
TestAifex_AddProductToBasket_ProductSheet(CDSM30),96,Fin,,
TestAifex_BackOnAddPage_ProductSheet(CDSM30),66,Fin,,
TestAifex_BackOnAddPage_ProductSheet(MKP),67,Fin,,
TestAifex_BackOnAddPage_SearchList(CDSM30),66,Debut,,
TestAifex_BackOnAddPage_SearchList(MKP),62,Debut,,
TestAifex_CheckWorkingHeaderMenu("LinksUserConnected"),179,Debut,,
TestAifex_CheckWorkingHeaderMenu("LinksUserNotConnected"),123,Debut,,
TestAifex_Connected_PorteAvionHeader,67,Inconnu,,
TestAifex_FilterLP,114,Debut,,
TestAifex_FilterLP_PAP,146,Debut,,
TestAifex_FilterLR,133,Debut,,
TestAifex_LP_CheckSecondHandOffers,47,Debut,,
TestAifex_PL_Cannibalisation_Searchdexing_check,53,Inconnu,,
TestAifex_PL_CheckProduct_BetweenListAndSheet,140,Inconnu,,
TestAifex_PL_CheckProductBlock("STD"),28,Inconnu,,
TestAifex_PL_CheckProductBlock("VAR"),28,Inconnu,,
TestAifex_PL_pagination_check,34,Inconnu,,
TestAifex_PL_structure_check,32,Inconnu,,
TestAifex_Connected_PorteAvionFooter,44,Inconnu,,
TestAifex_Connected_PorteAvionHeader,35,Inconnu,,
TestAifex_Search_CheckAlternativeLinks,27,Debut,,
TestAifex_Search_CheckCategoryLevelsComposition,51,Debut,,
TestAifex_Search_CheckGabaritPage,141,Debut,,
TestAifex_Search_CheckProductsListBeforeAfterChoosingCategory,144,Debut,,
TestAifex_Search_CheckSort,111,Debut,,
TestAifex_SearchBarInPages,136,Inconnu,,
TestAifex_SearchProduct,27,Debut,,
TestAifex_SearhProduct_NavigationAndPagination,40,Debut,,
TestAifex_ShippingInfo_CheckStructure(CDSM30),49,Fin,,
TestAifex_ShippingInfo_CheckStructure(CDSP30),57,Fin,,
TestAifex_ShowCase_Header,37,Inconnu,,
TestAifex_ShowCase_LeftMenu,64,Inconnu,,
TestAifex_WrongSearch,27,Debut,,
